{'batch_size': 16, 'epochs': 200, 'hidden_dim': 256, 'lr': 0.0001, 'num_gin_layers': 4, 'num_lin_layers': 1, 'random_seed': 42}
Training for parameters: {'batch_size': 16, 'epochs': 200, 'hidden_dim': 256, 'lr': 0.0001, 'num_gin_layers': 4, 'num_lin_layers': 1, 'random_seed': 42}
Epoch 1, Loss: 4.208821776238355, MAE: 1.5758193408901042
Epoch 86, Loss: 1.2516035177490927, MAE: 0.8803424323146993
Epoch 87, Loss: 1.2443934429775585, MAE: 0.8776860359040174
Epoch 88, Loss: 1.272890489345247, MAE: 0.8886170190843669
Epoch 89, Loss: 1.2574950063770467, MAE: 0.888671274618669
Epoch 90, Loss: 1.2321229006756436, MAE: 0.8802714739333499
Epoch 91, Loss: 1.2347069545225664, MAE: 0.8832097725434737
Epoch 92, Loss: 1.2505828287113796, MAE: 0.8820143905552951
Epoch 93, Loss: 1.2152294871481981, MAE: 0.8749294039877978
Epoch 94, Loss: 1.1865055575966834, MAE: 0.8615470815788616
Epoch 95, Loss: 1.2365479537031867, MAE: 0.8797439416701144
Epoch 96, Loss: 1.277883593602614, MAE: 0.8939462144266476
Epoch 97, Loss: 1.2758029939098792, MAE: 0.8935204893350601
Epoch 98, Loss: 1.2023608134551482, MAE: 0.8683837037194859
Epoch 99, Loss: 1.2206005716865713, MAE: 0.8779057288711721
Epoch 100, Loss: 1.1744993620298125, MAE: 0.85801508074457
Epoch 101, Loss: 1.2301549564708363, MAE: 0.8783599701794711
Epoch 102, Loss: 1.1637712780724871, MAE: 0.8616911938244646
Epoch 103, Loss: 1.1796348039399494, MAE: 0.8633557028391144
Epoch 104, Loss: 1.191431474550204, MAE: 0.8665166678753766
Epoch 105, Loss: 1.2094851806759834, MAE: 0.865520271117037
Epoch 106, Loss: 1.2065689391710541, MAE: 0.8668187553232366
Epoch 107, Loss: 1.1831653287464923, MAE: 0.8594553749669682
Epoch 108, Loss: 1.1473203087394888, MAE: 0.8476276617158544
Epoch 109, Loss: 1.1388967936689203, MAE: 0.8424842135472731
Epoch 110, Loss: 1.1326542032035913, MAE: 0.8391891254620119
Epoch 111, Loss: 1.1535973437807776, MAE: 0.8528910647739064
Epoch 112, Loss: 1.142385633289814, MAE: 0.8430214104327288
Epoch 113, Loss: 1.1901728708635677, MAE: 0.8686306873505766
Epoch 114, Loss: 1.1247344186360186, MAE: 0.8431407876990058
Epoch 115, Loss: 1.127840409766544, MAE: 0.8447839237072251
Epoch 116, Loss: 1.1398576785217631, MAE: 0.8474235233935443
Epoch 117, Loss: 1.1031917196783152, MAE: 0.8345101917331869
Epoch 118, Loss: 1.1249789278615605, MAE: 0.8390706543218006
Epoch 119, Loss: 1.0905633117664943, MAE: 0.8258613086559555
Epoch 120, Loss: 1.0959000844169746, MAE: 0.8360776513814926
Epoch 121, Loss: 1.0497900301759893, MAE: 0.8149198030883615
Epoch 122, Loss: 1.0926916213198141, MAE: 0.8264461329037492
Epoch 123, Loss: 1.144239428774877, MAE: 0.8483704698356715
Epoch 124, Loss: 1.1205637962980703, MAE: 0.8368432523174719
Epoch 125, Loss: 1.0788873484188861, MAE: 0.8225248595530337
Epoch 126, Loss: 1.080069609528238, MAE: 0.8221052653410218
Epoch 127, Loss: 1.1074041550809688, MAE: 0.8267484705556523
Epoch 128, Loss: 1.096800577234138, MAE: 0.8282849235968156
Epoch 129, Loss: 1.0398741655729034, MAE: 0.8061808214946227
Epoch 130, Loss: 1.106331201575019, MAE: 0.8317369043827056
Epoch 131, Loss: 1.1071396230296655, MAE: 0.8276903198523955
Epoch 132, Loss: 1.0451799068938603, MAE: 0.8127450860359452
Epoch 133, Loss: 1.0808498608795079, MAE: 0.8270796510306272
Epoch 134, Loss: 1.035288659957322, MAE: 0.8037437749179926
Epoch 135, Loss: 1.0602052358063785, MAE: 0.8209697685458444
Epoch 136, Loss: 1.0384597021070394, MAE: 0.7993925315412608
Epoch 137, Loss: 1.0282310754060746, MAE: 0.8071464581923051
Epoch 138, Loss: 1.047491668029265, MAE: 0.805212462219325
Epoch 139, Loss: 1.038227079808712, MAE: 0.8020205522125418
Epoch 140, Loss: 1.01189876686443, MAE: 0.7981557907028631
Epoch 141, Loss: 1.0525483804670248, MAE: 0.8081251340833577
Epoch 142, Loss: 1.0182272325862538, MAE: 0.7983888857743957
Epoch 143, Loss: 1.0277047925374725, MAE: 0.8029581050981175
Epoch 144, Loss: 1.0510178127072074, MAE: 0.8140788086436012
Epoch 145, Loss: 1.0455477595329286, MAE: 0.8015939381989565
Epoch 146, Loss: 0.9929045939987357, MAE: 0.7881385906176134
Epoch 147, Loss: 1.0108808104287494, MAE: 0.7919659527865324
Epoch 148, Loss: 1.0130092818628658, MAE: 0.7981872741471637
Epoch 149, Loss: 1.0294537225907499, MAE: 0.7939498606053266
Epoch 150, Loss: 0.9858130056749691, MAE: 0.7852973175319758
Epoch 151, Loss: 1.0120553409511392, MAE: 0.7968731611967087
Epoch 152, Loss: 1.0073837858709422, MAE: 0.7941751295870001
Epoch 153, Loss: 0.9894141321832484, MAE: 0.7871501917188818
Epoch 154, Loss: 0.9715832309289412, MAE: 0.7771464920856735
Epoch 155, Loss: 0.9850838922641494, MAE: 0.7821214685385878
Epoch 156, Loss: 0.9340718085792932, MAE: 0.7627584525130012
Epoch 157, Loss: 1.0100295484066009, MAE: 0.7962902956388214
Epoch 158, Loss: 0.9828114907172594, MAE: 0.7890344763343985
Epoch 159, Loss: 0.9942546392028982, MAE: 0.7918333938175982
Epoch 160, Loss: 0.9758861574259672, MAE: 0.7810002620924603
Epoch 161, Loss: 0.9660708413882689, MAE: 0.7790341461246664
Epoch 162, Loss: 0.9812157487327402, MAE: 0.7823153298009525
Epoch 163, Loss: 0.9580506131730296, MAE: 0.7770317633043636
Epoch 164, Loss: 0.997072220119563, MAE: 0.7918812237002633
Epoch 165, Loss: 0.9277875232425603, MAE: 0.7533009385520761
Epoch 166, Loss: 0.9516041832891378, MAE: 0.7668333285234191
Epoch 167, Loss: 0.9650869353251024, MAE: 0.775039469789375
Epoch 168, Loss: 0.8960607679052787, MAE: 0.7512520994652402
Epoch 169, Loss: 0.9405710361220619, MAE: 0.7702101444656199
Epoch 170, Loss: 0.9333665266633033, MAE: 0.7677166551351547
Epoch 171, Loss: 0.9570344668897716, MAE: 0.7685867488384247
Epoch 172, Loss: 0.9484734318473123, MAE: 0.7682689445939931
Epoch 173, Loss: 0.9250783065503294, MAE: 0.7593100745569575
Epoch 174, Loss: 0.9178104235367341, MAE: 0.7580733952197162
Epoch 175, Loss: 0.9231031287800182, MAE: 0.7608389580791647
Epoch 176, Loss: 0.9268089314753359, MAE: 0.7545511969111183
Epoch 177, Loss: 0.9835232391953468, MAE: 0.7830907757986676
Epoch 178, Loss: 0.9138349595395001, MAE: 0.7578113020821051
Epoch 179, Loss: 0.9265309501777995, MAE: 0.758536830950867
Epoch 180, Loss: 0.9187118500471115, MAE: 0.7567962016571652
Epoch 181, Loss: 0.8995212122797966, MAE: 0.7474381990053437
Epoch 182, Loss: 0.9127928399226882, MAE: 0.7523936469446529
Epoch 183, Loss: 0.9293049063194881, MAE: 0.7575386968525973
Epoch 184, Loss: 0.9234771431847052, MAE: 0.7553428334268657
Epoch 185, Loss: 0.8890794336118482, MAE: 0.7477615788578987
Epoch 186, Loss: 0.9293982920321551, MAE: 0.7613837346434593
Epoch 187, Loss: 0.9123532003977082, MAE: 0.7506819929588925
Epoch 188, Loss: 0.8824614171277393, MAE: 0.742113083736463
Epoch 189, Loss: 0.8801298633217811, MAE: 0.7414326553994959
Epoch 190, Loss: 0.9042035975239494, MAE: 0.7554797703569586
Epoch 191, Loss: 0.9186809885230931, MAE: 0.7544371166012503
Epoch 192, Loss: 0.9046335129575296, MAE: 0.7505582102320411
Epoch 193, Loss: 0.9096225387670777, MAE: 0.7525184623219751
Epoch 194, Loss: 0.9120550735430284, MAE: 0.7486303199421276
Epoch 195, Loss: 0.8971673727035523, MAE: 0.7490029448812658
Epoch 196, Loss: 0.8575124659321525, MAE: 0.7332960284569047
Epoch 197, Loss: 0.8482568194243041, MAE: 0.7222415353764188
Epoch 198, Loss: 0.8738662123680114, MAE: 0.7380564124746756
Epoch 199, Loss: 0.8513919812034477, MAE: 0.7251431423154744
Epoch 200, Loss: 0.8963635422966697, MAE: 0.7471482203765349
Validation Loss after 200 epochs: 0.8206371935931119
Traceback (most recent call last):
  File "/opt/mamba/lib/python3.10/runpy.py", line 196, in _run_module_as_main
    return _run_code(code, main_globals, None,
  File "/opt/mamba/lib/python3.10/runpy.py", line 86, in _run_code
    exec(code, run_globals)
  File "/home/onyxia/work/aml_project/molprop_prediction/scripts/grid_search_wandb.py", line 182, in <module>
    main()
  File "/home/onyxia/work/aml_project/molprop_prediction/scripts/grid_search_wandb.py", line 174, in main
    best_model, best_params = grid_search(
  File "/home/onyxia/work/aml_project/molprop_prediction/scripts/grid_search_wandb.py", line 143, in grid_search
    f.write(f"{params['hidden_dim']},{params['lr']},{params['batch_size']},{params['epochs']},{params['num_gin_layers']},{params['num_lin_layers']},{average_loss},{avg_mae}\n")
NameError: name 'avg_mae' is not defined
